epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.19954,0.20961,1,1,0.00282,0.000550272,0.000550272,0.000550272
2,9.26798,0.1511,0.9932,1,0.02971,0.00109499,0.00109499,0.00109499
3,12.9103,0.10188,0.38776,1,2.03418,0.00162871,0.00162871,0.00162871
4,16.5897,0.15514,0.9932,1,0.01288,0.00161749,0.00161749,0.00161749
5,20.128,0.09687,0.9932,1,0.03333,0.00160099,0.00160099,0.00160099
6,23.7008,0.08938,0.9932,1,0.03899,0.00158448,0.00158448,0.00158448
7,27.4541,0.04456,0.9932,1,0.0379,0.00156798,0.00156798,0.00156798
8,30.9151,0.04962,0.9932,1,0.02289,0.00155148,0.00155148,0.00155148
9,34.2934,0.04661,0.9932,1,0.02348,0.00153497,0.00153497,0.00153497
10,37.7074,0.09582,0.9932,1,0.01647,0.00151847,0.00151847,0.00151847
11,41.3494,0.03507,0.9932,1,0.02086,0.00150197,0.00150197,0.00150197
