epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.42314,0.34368,0.88776,1,0.30933,0.000547495,0.000547495,0.000547495
2,7.6897,0.22835,0.92857,1,0.16532,0.00109224,0.00109224,0.00109224
3,10.4106,0.17131,0.92857,1,0.15779,0.00162598,0.00162598,0.00162598
4,13.1798,0.22389,0.96939,1,0.09753,0.00161749,0.00161749,0.00161749
5,16.0137,0.13829,0.95918,1,0.06293,0.00160099,0.00160099,0.00160099
6,18.9908,0.13395,0.95918,1,0.06557,0.00158448,0.00158448,0.00158448
7,21.8006,0.12332,0.93878,1,0.06949,0.00156798,0.00156798,0.00156798
8,25.0563,0.14409,0.96939,1,0.05436,0.00155148,0.00155148,0.00155148
9,28.1842,0.16775,0.97959,1,0.83504,0.00153497,0.00153497,0.00153497
10,31.2806,0.11981,0.9898,1,0.0226,0.00151847,0.00151847,0.00151847
11,33.8491,0.13221,0.96939,1,0.09286,0.00150197,0.00150197,0.00150197
12,36.1706,0.09906,0.9898,1,0.02955,0.00148546,0.00148546,0.00148546
13,38.6738,0.07667,0.9898,1,0.02989,0.00146896,0.00146896,0.00146896
14,41.3653,0.06726,0.9898,1,0.04787,0.00145246,0.00145246,0.00145246
15,44.1055,0.1311,0.96939,1,0.05232,0.00143595,0.00143595,0.00143595
16,46.8408,0.08772,0.97959,1,0.02959,0.00141945,0.00141945,0.00141945
17,49.6001,0.0849,0.97959,1,0.05764,0.00140295,0.00140295,0.00140295
18,51.9643,0.08109,0.9898,1,0.01886,0.00138644,0.00138644,0.00138644
19,54.3508,0.05044,0.97959,1,0.03936,0.00136994,0.00136994,0.00136994
20,56.6775,0.08868,0.97959,1,0.04227,0.00135344,0.00135344,0.00135344
