epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4867,0.79696,1.67829,0.97373,0.96181,0.74745,0.79979,0.63444,0.81577,0.59239,0.96206,0.000367273,0.000367273,0.000367273
2,87.4867,0.76269,0.76745,0.94965,0.83158,0.61727,0.6492,0.51357,0.88063,1.7115,1.00371,0.000730304,0.000730304,0.000730304
3,126.486,0.80657,0.7137,0.98266,0.87381,0.57775,0.63868,0.47162,0.97545,1.08932,1.04196,0.001086,0.001086,0.001086
4,165.52,0.76346,0.63776,0.94979,0.67647,0.81384,0.85693,0.5758,0.88632,0.68593,0.99649,0.001078,0.001078,0.001078
5,204.258,0.73455,0.5333,0.93669,0.91809,0.97626,0.9911,0.74694,0.78977,0.46719,0.94789,0.001067,0.001067,0.001067
6,242.722,0.72063,0.48512,0.92949,0.94939,0.97596,0.98995,0.74889,0.83548,0.45607,0.95757,0.00105601,0.00105601,0.00105601
7,281.955,0.7074,0.49243,0.92167,0.95502,0.99011,0.98797,0.75991,0.80111,0.44054,0.94593,0.00104501,0.00104501,0.00104501
8,320.937,0.69302,0.46493,0.91806,0.954,0.97412,0.98805,0.78094,0.7776,0.40385,0.94087,0.00103401,0.00103401,0.00103401
9,359.85,0.65882,0.42128,0.89609,0.93369,0.97166,0.98965,0.78359,0.7536,0.40379,0.92962,0.00102301,0.00102301,0.00102301
10,398.914,0.67661,0.41795,0.90752,0.91067,0.96382,0.98955,0.76473,0.82505,0.38362,0.96186,0.00101201,0.00101201,0.00101201
11,437.613,0.66135,0.40946,0.90292,0.97555,0.97399,0.9931,0.78481,0.75996,0.36213,0.92623,0.00100101,0.00100101,0.00100101
12,476.738,0.65277,0.4049,0.8967,0.97264,0.97852,0.99052,0.79447,0.75031,0.3899,0.92439,0.000990012,0.000990012,0.000990012
13,516.859,0.64474,0.38582,0.8959,0.92023,0.98532,0.98787,0.78641,0.73247,0.37204,0.92599,0.000979013,0.000979013,0.000979013
14,556.96,0.64921,0.38093,0.89285,0.9294,0.97559,0.9849,0.77581,0.75847,0.36884,0.92656,0.000968014,0.000968014,0.000968014
15,597.347,0.64135,0.38613,0.89342,0.9444,0.97539,0.98931,0.78555,0.75809,0.35861,0.92741,0.000957015,0.000957015,0.000957015
16,639.851,0.62742,0.36716,0.88266,0.98508,0.9834,0.9922,0.79641,0.74313,0.33783,0.92496,0.000946016,0.000946016,0.000946016
17,680.294,0.6369,0.36279,0.89218,0.96998,0.98044,0.99314,0.8016,0.79558,0.35184,0.93916,0.000935018,0.000935018,0.000935018
18,722.84,0.61867,0.35299,0.88261,0.96969,0.97598,0.99323,0.78718,0.7454,0.34061,0.92545,0.000924019,0.000924019,0.000924019
19,763.812,0.61821,0.35006,0.88421,0.98072,0.98104,0.99205,0.8041,0.75264,0.3355,0.92378,0.00091302,0.00091302,0.00091302
20,807.27,0.60728,0.33663,0.87483,0.94106,0.98194,0.98853,0.81626,0.73015,0.34405,0.91705,0.000902021,0.000902021,0.000902021
21,848.67,0.62891,0.34924,0.88895,0.9875,0.98317,0.99361,0.80173,0.7851,0.33677,0.94024,0.000891022,0.000891022,0.000891022
22,887.457,0.60478,0.33512,0.88239,0.97502,0.9731,0.99143,0.81162,0.7431,0.32476,0.93088,0.000880023,0.000880023,0.000880023
23,928.242,0.59744,0.33624,0.87446,0.96277,0.98222,0.98944,0.78507,0.74795,0.34398,0.92958,0.000869024,0.000869024,0.000869024
24,969.236,0.59887,0.32782,0.87149,0.97431,0.97353,0.99192,0.81737,0.75844,0.34459,0.92903,0.000858025,0.000858025,0.000858025
25,1009.78,0.60159,0.33351,0.87571,0.98201,0.97998,0.99322,0.81169,0.76007,0.33688,0.92925,0.000847026,0.000847026,0.000847026
26,1051.27,0.59794,0.33545,0.87766,0.93332,0.97952,0.98399,0.77668,0.75833,0.36277,0.92155,0.000836027,0.000836027,0.000836027
27,1091.84,0.60118,0.32456,0.87995,0.98121,0.98441,0.99176,0.79003,0.75415,0.32281,0.92812,0.000825029,0.000825029,0.000825029
28,1132.07,0.59802,0.32669,0.87351,0.97615,0.97481,0.99198,0.82062,0.73592,0.32109,0.92182,0.00081403,0.00081403,0.00081403
29,1172.74,0.59187,0.31531,0.8729,0.97223,0.97971,0.99226,0.80291,0.77158,0.33015,0.93773,0.000803031,0.000803031,0.000803031
30,1212.98,0.59285,0.31219,0.86816,0.98383,0.97822,0.99113,0.80203,0.77089,0.33146,0.93612,0.000792032,0.000792032,0.000792032
31,1252.75,0.58742,0.31209,0.86656,0.9794,0.97622,0.99156,0.81536,0.74942,0.32561,0.93154,0.000781033,0.000781033,0.000781033
32,1292.36,0.58734,0.31263,0.87236,0.96598,0.97723,0.99217,0.82649,0.72055,0.31844,0.91506,0.000770034,0.000770034,0.000770034
33,1331.82,0.59291,0.30847,0.8679,0.98353,0.97034,0.99157,0.82231,0.73031,0.32456,0.91951,0.000759035,0.000759035,0.000759035
34,1371.11,0.59611,0.31394,0.87522,0.96232,0.97466,0.98841,0.80997,0.73797,0.33003,0.91995,0.000748036,0.000748036,0.000748036
35,1410.35,0.59491,0.31268,0.87121,0.97654,0.98167,0.98748,0.81958,0.72299,0.31455,0.91713,0.000737037,0.000737037,0.000737037
36,1449.71,0.59956,0.31063,0.87305,0.95835,0.97964,0.98839,0.81483,0.72437,0.3278,0.91911,0.000726038,0.000726038,0.000726038
37,1489.31,0.59819,0.3097,0.86913,0.98163,0.98483,0.99093,0.83192,0.71014,0.30794,0.91172,0.00071504,0.00071504,0.00071504
38,1528.56,0.57541,0.30509,0.86702,0.98042,0.98085,0.99124,0.81995,0.71201,0.30853,0.91355,0.000704041,0.000704041,0.000704041
39,1567.85,0.58603,0.2966,0.86945,0.9848,0.97938,0.99069,0.83166,0.72866,0.30754,0.92369,0.000693042,0.000693042,0.000693042
40,1607.48,0.57577,0.29423,0.86672,0.97669,0.97897,0.99019,0.83651,0.71736,0.31019,0.92007,0.000682043,0.000682043,0.000682043
41,1647.25,0.57038,0.29043,0.86594,0.98494,0.98051,0.99117,0.82564,0.71737,0.31967,0.91794,0.000671044,0.000671044,0.000671044
42,1686.76,0.56796,0.29617,0.86419,0.98102,0.97832,0.98942,0.82509,0.70278,0.3162,0.9144,0.000660045,0.000660045,0.000660045
43,1726.37,0.57158,0.29019,0.86199,0.97798,0.98351,0.98764,0.82952,0.69876,0.30642,0.91272,0.000649046,0.000649046,0.000649046
44,1765.87,0.56684,0.28917,0.86328,0.9854,0.98347,0.9916,0.83423,0.69708,0.29891,0.91058,0.000638047,0.000638047,0.000638047
45,1805.35,0.57366,0.29197,0.86492,0.98211,0.97474,0.99041,0.82982,0.6909,0.30583,0.90363,0.000627048,0.000627048,0.000627048
46,1845.08,0.56074,0.282,0.86352,0.97434,0.9835,0.99002,0.82949,0.68963,0.29825,0.90455,0.000616049,0.000616049,0.000616049
47,1884.37,0.56502,0.28535,0.8625,0.97966,0.98457,0.99023,0.8405,0.68683,0.29046,0.90401,0.000605051,0.000605051,0.000605051
48,1924,0.56105,0.28135,0.86068,0.9736,0.98781,0.9922,0.83908,0.69412,0.29418,0.90295,0.000594052,0.000594052,0.000594052
49,1964.1,0.56763,0.28439,0.85463,0.96374,0.98559,0.9926,0.83261,0.69747,0.30435,0.90634,0.000583053,0.000583053,0.000583053
50,2003.94,0.55615,0.27599,0.85583,0.93098,0.99195,0.98155,0.81166,0.71327,0.3203,0.90941,0.000572054,0.000572054,0.000572054
51,2043.94,0.56036,0.27542,0.86249,0.97299,0.9809,0.99293,0.84341,0.69565,0.30092,0.90678,0.000561055,0.000561055,0.000561055
52,2085.12,0.55622,0.27942,0.85705,0.95668,0.98104,0.98774,0.84202,0.6915,0.3113,0.90855,0.000550056,0.000550056,0.000550056
53,2125.12,0.55835,0.27995,0.85561,0.97904,0.98371,0.99264,0.83172,0.71171,0.30578,0.91828,0.000539057,0.000539057,0.000539057
54,2164.63,0.54875,0.2739,0.85129,0.97972,0.98459,0.99163,0.80884,0.70135,0.29934,0.91549,0.000528058,0.000528058,0.000528058
55,2206.07,0.55002,0.27041,0.85847,0.97271,0.98822,0.99155,0.81348,0.69695,0.2993,0.91837,0.000517059,0.000517059,0.000517059
56,2247.98,0.54856,0.26898,0.85519,0.98168,0.97802,0.98984,0.83384,0.70703,0.29969,0.91719,0.00050606,0.00050606,0.00050606
57,2287.72,0.54227,0.26331,0.85474,0.97816,0.97833,0.99159,0.84087,0.70693,0.29733,0.91547,0.000495062,0.000495062,0.000495062
58,2326.54,0.53893,0.26039,0.85366,0.97499,0.98306,0.99245,0.83837,0.70206,0.29328,0.91278,0.000484063,0.000484063,0.000484063
59,2365.62,0.54016,0.2613,0.85173,0.97963,0.97819,0.98936,0.81704,0.71148,0.3122,0.91987,0.000473064,0.000473064,0.000473064
60,2404.13,0.54158,0.26363,0.85327,0.98013,0.98081,0.99041,0.83518,0.71359,0.29654,0.92083,0.000462065,0.000462065,0.000462065
61,2443.26,0.54333,0.25979,0.85598,0.97663,0.98099,0.98973,0.82927,0.69133,0.30429,0.90678,0.000451066,0.000451066,0.000451066
