epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8324,0.97032,2.60456,1.0911,0.7948,0.6851,0.79156,0.57458,0.87307,1.40935,1.08011,0.000367725,0.000367725,0.000367725
2,72.2732,0.89692,1.63653,1.0695,0.76036,0.75671,0.82475,0.5831,0.88506,1.0751,1.10941,0.000730752,0.000730752,0.000730752
3,102.532,0.87316,1.27662,1.06141,0.88926,0.9388,0.95294,0.67888,0.88656,0.92616,1.11987,0.00108645,0.00108645,0.00108645
4,132.561,0.87344,1.04249,1.06091,0.91614,0.89831,0.95771,0.66595,0.91945,0.81191,1.13113,0.001078,0.001078,0.001078
5,162.367,0.85021,0.88348,1.05822,0.96384,0.96627,0.98699,0.73651,0.83648,0.66451,1.08318,0.001067,0.001067,0.001067
6,192.468,0.81455,0.76146,1.04027,0.95887,0.97302,0.98672,0.72623,0.84882,0.61131,1.08913,0.00105601,0.00105601,0.00105601
7,222.65,0.78893,0.66135,1.01898,0.9592,0.96229,0.98734,0.75023,0.86856,0.6479,1.09789,0.00104501,0.00104501,0.00104501
8,253.039,0.8073,0.65447,1.03462,0.96594,0.96091,0.98783,0.73224,0.82027,0.54402,1.06314,0.00103401,0.00103401,0.00103401
9,283.147,0.80741,0.61852,1.03178,0.96867,0.98514,0.98813,0.73886,0.87507,0.56217,1.09695,0.00102301,0.00102301,0.00102301
10,313.543,0.79069,0.57229,1.02473,0.97941,0.98609,0.99145,0.76952,0.80569,0.48575,1.05434,0.00101201,0.00101201,0.00101201
11,343.754,0.79191,0.54203,1.0262,0.97651,0.98275,0.98949,0.7941,0.76307,0.48617,1.04382,0.00100101,0.00100101,0.00100101
12,374.362,0.78682,0.53196,1.03247,0.94303,0.98519,0.99261,0.80411,0.70102,0.48241,1.00494,0.000990012,0.000990012,0.000990012
13,405.477,0.7702,0.51257,1.02089,0.97456,0.98345,0.98807,0.76066,0.74727,0.49127,1.03248,0.000979013,0.000979013,0.000979013
14,436.432,0.74675,0.4908,1.01551,0.98425,0.97619,0.99029,0.82469,0.68433,0.42509,0.991,0.000968014,0.000968014,0.000968014
15,467.846,0.73606,0.47132,0.99669,0.98552,0.98216,0.99142,0.82218,0.67996,0.42227,0.9936,0.000957015,0.000957015,0.000957015
16,498.116,0.71715,0.4524,0.98921,0.97353,0.9915,0.99248,0.82138,0.67984,0.40777,0.99508,0.000946016,0.000946016,0.000946016
17,528.19,0.70459,0.44412,0.98215,0.97413,0.9792,0.99275,0.81038,0.68367,0.4124,0.98758,0.000935018,0.000935018,0.000935018
18,559.22,0.7218,0.44678,0.99432,0.97984,0.98547,0.99147,0.84744,0.64544,0.39018,0.97236,0.000924019,0.000924019,0.000924019
